source,product,market,date_observed,date_reference,price_eur_kg,year,seasonal_flag,notes
Mercasa,Cerezas,Mercamadrid,22/05*,26/05*,"2,80",2026,1,
Mercasa,Cerezas,Mercamadrid,22/05*,26/05*,"6,81",2026,1,
Mercasa,Cerezas,Mercamadrid,22/05*,26/05*,"2,81",2026,1,
Mercasa,Cerezas,Mercamadrid,22/05*,26/05*,"1,69",2026,1,
Mercasa,Cerezas,Mercamadrid,22/05*,26/05*,"1,95",2026,1,
Mercasa,Cerezas,Mercamadrid,22/05*,26/05*,"2,35",2026,1,
Mercasa,Cerezas,Mercamadrid,22/05*,26/05*,"1,60",2026,1,
Mercasa,Cerezas,Mercamadrid,22/05*,26/05*,"4,66",2026,1,
Mercasa,Cerezas,Mercamadrid,22/05*,26/05*,"2,27",2026,1,
Mercasa,Cerezas,Mercamadrid,22/05*,26/05*,"1,35",2026,1,
Mercasa,Cerezas,Mercabarna,22/05,26/05,"1,85",2026,1,
Mercasa,Cerezas,Mercabarna,22/05,26/05,"4,00",2026,1,
Mercasa,Cerezas,Mercabarna,22/05,26/05,"2,80",2026,1,
Mercasa,Cerezas,Mercabarna,22/05,26/05,"1,20",2026,1,
Mercasa,Cerezas,Mercabarna,22/05,26/05,"1,30",2026,1,
Mercasa,Cerezas,Mercabarna,22/05,26/05,"1,70",2026,1,
Mercasa,Cerezas,Mercabarna,22/05,26/05,"1,00",2026,1,
Mercasa,Cerezas,Mercabarna,22/05,26/05,"3,00",2026,1,
Mercasa,Cerezas,Mercabarna,22/05,26/05,"1,85",2026,1,
Mercasa,Cerezas,Mercabarna,22/05,26/05,"1,10",2026,1,
Mercasa,Cerezas,Mercabilbao,22/05,26/05,"1,80",2026,1,
Mercasa,Cerezas,Mercabilbao,22/05,26/05,"4,00",2026,1,
Mercasa,Cerezas,Mercabilbao,22/05,26/05,"3,00",2026,1,
Mercasa,Cerezas,Mercabilbao,22/05,26/05,"2,00",2026,1,
Mercasa,Cerezas,Mercabilbao,22/05,26/05,"1,10",2026,1,
Mercasa,Cerezas,Mercabilbao,22/05,26/05,"1,20",2026,1,
Mercasa,Cerezas,Mercabilbao,22/05,26/05,"2,75",2026,1,
Mercasa,Cerezas,Mercabilbao,22/05,26/05,"1,00",2026,1,
Mercasa,Cerezas,Mercavalencia,22/05,26/05,"3,80",2026,1,
Mercasa,Cerezas,Mercavalencia,22/05,26/05,"5,50",2026,1,
Mercasa,Cerezas,Mercavalencia,22/05,26/05,"2,50",2026,1,
Mercasa,Cerezas,Mercavalencia,22/05,26/05,"1,40",2026,1,
Mercasa,Cerezas,Mercavalencia,22/05,26/05,"0,95",2026,1,
Mercasa,Cerezas,Mercavalencia,22/05,26/05,"1,40",2026,1,
Mercasa,Cerezas,Mercavalencia,22/05,26/05,"0,60",2026,1,
Mercasa,Cerezas,Mercavalencia,22/05,26/05,"2,10",2026,1,
Mercasa,Cerezas,Mercavalencia,22/05,26/05,"1,10",2026,1,
Mercasa,Cerezas,Mercavalencia,22/05,26/05,"1,00",2026,1,
Mercasa,Cerezas,Mercasevilla,22/05,26/05,"2,00",2026,1,
Mercasa,Cerezas,Mercasevilla,22/05,26/05,"5,00",2026,1,
Mercasa,Cerezas,Mercasevilla,22/05,26/05,"2,58",2026,1,
Mercasa,Cerezas,Mercasevilla,22/05,26/05,"1,53",2026,1,
Mercasa,Cerezas,Mercasevilla,22/05,26/05,"1,90",2026,1,
Mercasa,Cerezas,Mercasevilla,22/05,26/05,"1,90",2026,1,
Mercasa,Cerezas,Mercasevilla,22/05,26/05,"0,80",2026,1,
Mercasa,Cerezas,Mercasevilla,22/05,26/05,"2,56",2026,1,
Mercasa,Cerezas,Mercasevilla,22/05,26/05,"2,00",2026,1,
